"","gsis_id","full_name"
"569","00-0002787","Stoney Case"
"570","00-0000871","Mario Bates"
"571","00-0001897","Corwin Brown"
"572","00-0000485","James Atkins"
"573","00-0013822","Ray Roberts"
"574","00-0013298","Alfred Pupunu"
"575","00-0015507","Brian Stablein"
"576","00-0019388","Leroy Hodge"
"577","00-0013796","Austin Robbins"
"578","00-0010945","Raleigh McKenzie"
"579","00-0010491","Russell Maryland"
"580","00-0013700","David Richie"
"581","00-0011392","Basil Mitchell"
"582","00-0019672","Gary Berry"
"583","00-0003788","Scott Curry"
"584","00-0017480","Ryan Wetnight"
"585","00-0000423","Phil Armour"
"586","00-0000518","Billy Austin"
"587","00-0001368","Tony Blevins"
"588","00-0011796","Mustafah Muhammad"
"589","00-0019190","Payton Williams"
"590","00-0009267","Shawn King"
"591","00-0019187","Brandon Miller"
"592","00-0019580","Rob Renes"
"593","00-0016311","Ratcliff Thomas"
"594","00-0006052","Phil Glover"
"595","00-0007614","Dwight Hollier"
"596","00-0001100","Cornelius Bennett"
"597","00-0007530","Billy Joe Hobert"
"598","00-0000003","Abdul-Karim al-Jabbar"
"599","00-0014809","Paul Shields"
"600","00-0006155","Lennox Gordon"
"601","00-0009187","Joshua Keur"
"602","00-0006322","E.G. Green"
"603","00-0008763","Isaac Jones"
"604","00-0013040","Chad Plummer"
"605","00-0012037","Quentin Neujahr"
"606","00-0015971","Michael Swift"
"607","00-0018934","Shadwick Criss"
"608","00-0011250","Craig Miller"
"609","00-0015070","Joel Smeenge"
"610","00-0003781","Eric Curry"
"611","00-0010506","Michael Mason"
"612","00-0009811","Emarlos Leroy"
"613","00-0015705","Rayna Stewart"
"614","00-0008027","Steve Ingram"
"615","00-0012015","Reggie Nelson"
"616","00-0015776","Erik Storz"
"617","00-0012751","Troy Pelshak"
"618","00-0010486","Lonnie Marts"
"619","00-0007795","Chris Howard"
"620","00-0008430","Anthony Johnson"
"621","00-0018961","Joey Chustz"
"622","00-0004172","Greg DeLong"
"623","00-0006458","Rich Griffith"
"624","00-0006513","Tim Grunhard"
"625","00-0006265","Carlton Gray"
"626","00-0019078","Thomas Washington"
"627","00-0012620","Ty Parten"
"628","00-0009492","Brad Kubik"
"629","00-0005890","Ron George"
"630","00-0011524","Warren Moon"
"631","00-0000279","Kimble Anders"
"632","00-0004524","Troy Drayton"
"633","00-0001401","John Bock"
"634","00-0008323","Greg Jeffries"
"635","00-0019685","Jeff Harris"
"636","00-0016331","Thurman Thomas"
"637","00-0014790","Leslie Shepherd"
"638","00-0016289","Lamar Thomas"
"639","00-0000696","Antonio Banks"
"640","00-0004337","Cris Dishman"
"641","00-0003536","Keith Council"
"642","00-0012191","Gabe Northern"
