,yearly_id,full_name,position,lw,lw_June_01,difference,lw_edit,ZR_Rankings_Manual,ZR_manual_boost
403,2022_00-0035806,JaMycal Hasty,RB,0.3,0.3,0,0.3,,
404,2022_00-0036247,Freddie Swain,WR,0.3,0.3,0,0.3,,
405,2022_00-0036110,Ja'Marcus Bradley,WR,0.3,0.3,0,0.3,,
406,2022_00-0036482,Mike Strachan,WR,0.3,0.3,0,0.3,,
407,2022_00-0036999,Anthony Schwartz,WR,0.3,0.3,0,0.3,,
408,2022_00-0036876,Kylen Granson,TE,0.3,0.3,0,0.3,,
409,2022_00-0032241,Todd Gurley,RB,0.3,0.3,0,0.3,,
410,2022_00-0035414,Jalen Guyton,WR,0.3,0.3,0,0.3,,
411,2022_00-0036271,Quez Watkins,WR,0.3,0.3,0,0.3,,
412,2022_00-0022921,Larry Fitzgerald,WR,0.3,0.3,0,0.3,,
413,2022_00-0032063,Mike Davis,RB,0.3,0.3,0,0.3,,
414,2022_00-0036425,DeeJay Dallas,RB,0.3,0.3,0,0.3,,
415,2022_00-0036259,Jauan Jennings,WR,0.3,0.3,0,0.3,,
416,2022_00-0036670,Jermar Jefferson,RB,0.3,0.3,0,0.3,,
417,2022_00-0031549,Nelson Agholor,WR,0.3,0.3,0,0.3,,
418,2022_00-0034109,Phillip Lindsay,RB,0.3,0.3,0,0.3,,
419,2022_00-0034510,Robert Foster,WR,0.3,0.3,0,0.3,,
421,2022_00-0033567,Brian Hill,RB,0.3,0.3,0,0.3,,
422,2022_00-0036340,Antonio Gandy-Golden,WR,0.3,0.3,0,0.3,,
424,2022_00-0034052,Brandon Zylstra,WR,0.3,0.3,0,0.3,,
425,2022_00-0035268,Ryquell Armstead,RB,0.3,0.3,0,0.3,,
426,2022_00-0032257,Duke Johnson,RB,0.3,0.3,0,0.3,,
427,2022_00-0036277,Quintez Cephus,WR,0.3,0.3,0,0.3,,
428,2022_00-0034660,Rico Gafford,WR,0.3,0.3,0,0.3,,
429,2022_00-0034208,Mike Boone,RB,0.3,0.3,0,0.3,,
430,2022_00-0036096,J.J. Taylor,RB,0.3,0.3,0,0.3,,
431,2022_00-0036652,Racey McMath,WR,0.3,0.3,0,0.3,,
432,2022_00-0036228,Dezmon Patmon,WR,0.3,0.3,0,0.3,,
433,2022_00-0036669,Kylin Hill,RB,0.3,0.3,0,0.3,,
434,2022_00-0033215,Cyril Grayson,WR,0.3,0.3,0,0.3,,
435,2022_00-0035869,Austin Mack,WR,0.3,0.3,0,0.3,,
436,2022_00-0036377,Joe Reed,WR,0.3,0.3,0,0.3,,
437,2022_00-0036145,Lawrence Cager,WR,0.3,0.3,0,0.3,,
438,2022_00-0034317,Keith Kirkwood,WR,0.3,0.3,0,0.3,,
439,2022_00-0036907,Dazz Newsome,WR,0.3,0.3,0,0.3,,
440,2022_00-0034171,Jason Cabinda,FB,0.3,0.3,0,0.3,,
463,2022_00-0031325,Sammy Watkins,WR,0.2,0.3,0.1,0.3,,
506,2022_00-0034386,Justin Watson,WR,0.2,0.3,0.1,0.3,,
525,2022_00-0033859,Josh Malone,WR,0.2,0.3,0.1,0.3,,
95,2022_00-0031547,DeVante Parker,WR,10.2,5.2,-5,0.2,,-5
325,2022_00-0035021,Ashton Dulin,WR,0.5,0.2,-0.3,0.2,,
342,2022_00-0036133,James Proche,WR,0.4,0.2,-0.2,0.2,,
347,2022_00-0036331,Devin Duvernay,WR,0.4,0.2,-0.2,0.2,,
